title,authors,genre,thumbnail,description,average_rating,main_genre
Gilead,Marilynne Robinson,fiction,http://books.google.com/books/content?id=KQZCPgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,a novel that readers and critics have been eagerly anticipating for over a decade gilead is an astonishingly imagined story of remarkable lives john ames is a preacher the son of a preacher and the grandson both maternal and paternal of preachers its 1956 in gilead iowa towards the end of the reverend amess life and he is absorbed in recording his familys story a legacy for the young son he will never see grow up haunted by his grandfathers presence john tells of the rift between his grandfather and his father the elder an angry visionary who fought for the abolitionist cause and his son an ardent pacifist he is troubled too by his prodigal namesake jack john ames boughton his best friends lost son who returns to gilead searching for forgiveness and redemption told in john amess joyous rambling voice that finds beauty humour and truth in the smallest of lifes details gilead is a song of celebration and acceptance of the best and the worst the world has to offer at its heart is a tale of the sacred bonds between fathers and sons pitchperfect in style and story set to dazzle critics and readers alike,3.85,Fiction
Spider's Web,Charles Osborne;Agatha Christie,detective and mystery stories,http://books.google.com/books/content?id=gA5GPgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,a new christie for christmas a fulllength novel adapted from her acclaimed play by charles osborne following black coffee and the unexpected guest comes the final agatha christie play novelisation bringing her superb storytelling to a new legion of fans clarissa the wife of a foreign office diplomat is given to daydreaming supposing i were to come down one morning and find a dead body in the library what should i do she muses clarissa has her chance to find out when she discovers a body in the drawingroom of her house in kent desperate to dispose of the body before her husband comes home with an important foreign politician clarissa persuades her three house guests to become accessories and accomplices it seems that the murdered man was not unknown to certain members of the house party but which ones and the search begins for the murderer and the motive while at the same time trying to persuade a police inspector that there has been no murder at all spiders web was written in 1954 specifically for margaret lockwood and opened first at the theatre royal nottingham before moving to the savoy theatre in london on 14 december 1954 with the mousetrap and wi,3.83,Fiction
The One Tree,Stephen R. Donaldson,american fiction,http://books.google.com/books/content?id=OmQawwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,volume two of stephen donaldsons acclaimed second trilogy featuing the compelling antihero thomas covenant,3.97,Fiction
Rage of angels,Sidney Sheldon,fiction,http://books.google.com/books/content?id=FKo2TgANz74C&printsec=frontcover&img=1&zoom=1&source=gbs_api,a memorable mesmerizing heroine jennifer brilliant beautiful an attorney on the way up until the mafias schemes win her the hatred of an implacable enemy and a love more destructive than hate a dangerous dramatic world the dark arena of organized crime and flashbulb lit courtrooms where ambitious prosecutors begin their climb to political power,3.93,Fiction
The Four Loves,Clive Staples Lewis,christian life,http://books.google.com/books/content?id=XhQ5XsFcpGIC&printsec=frontcover&img=1&zoom=1&source=gbs_api,lewis work on the nature of love divides love into four categories affection friendship eros and charity the first three come naturally to humanity charity however the giftlove of god is divine and without this supernatural love the natural loves become distorted and even dangerous,4.15,Non-Fiction
The Problem of Pain,Clive Staples Lewis,christian life,http://books.google.com/books/content?id=Kk-uVe5QK-gC&printsec=frontcover&img=1&zoom=1&source=gbs_api,in the problem of pain cs lewis one of the most renowned christian authors and thinkers examines a universally applicable question within the human condition if god is good and allpowerful why does he allow his creatures to suffer pain with his signature wealth of compassion and insight cs lewis offers answers to these crucial questions and shares his hope and wisdom to help heal a world hungering for a true understanding of human natureamazon,4.09,Non-Fiction
An Autobiography,Agatha Christie,"authors, english",http://books.google.com/books/content?id=c49GQwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,donation,4.27,Non-Fiction
Empires of the Monsoon,Richard Hall,"africa, east",http://books.google.com/books/content?id=MuPEQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,until vasco da gama discovered the searoute to the east in 14979 almost nothing was known in the west of the exotic cultures and wealth of the indian ocean and its peoples it is this civilization and its destruction at the hands of the west that richard hall recreates in this book halls history of the exploration and exploitation by chinese and arab travellers and by the portuguese dutch and british alike is one of brutality betrayal and colonial ambition,4.41,Non-Fiction
The Gap Into Madness,Stephen R. Donaldson,"hyland, morn (fictitious character)",http://books.google.com/books/content?id=4oXavLNDWocC&printsec=frontcover&img=1&zoom=1&source=gbs_api,a newcover reissue of the fourth book in the bestselling fivevolume sf series created by the worldfamous author of the thomas covenant chronicles and acclaimed as the best work of his career events were not moving as the amnion had intended once again humans had been false in their dealings with the aliens as the planetoid thanatos minor exploded into atoms the trumpet hurtled into space only one step ahead of hostile pursuers on board were morn hyland and her forcegrown son davies cyborg angus thermopyle and captain nick succorso old enemies thrown together in a desperate bid for survival for both the amnion and the umcp the immediate capture of the fleeing ship and the secrets it contained was imperative but for trumpets exhausted crew the only hope lay in an illegal lab in the distant binary solar system of valdor industrial it would be a journey of unpredictable danger from which not all would return,4.15,Non-Fiction
Master of the Game,Sidney Sheldon,adventure stories,http://books.google.com/books/content?id=TkTYp-Tp6_IC&printsec=frontcover&img=1&zoom=1&source=gbs_api,kate blackwell is an enigma and one of the most powerful women in the world but at her ninetieth birthday celebrations there are ghosts of absent friends and absent enemies,4.11,Fiction
If Tomorrow Comes,Sidney Sheldon,adventure stories,http://books.google.com/books/content?id=l2tBi_jLuk8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,one of sidney sheldons most popular and bestselling titles repackaged and reissued for a new generation of fans,4.04,Fiction
Assassin's Apprentice,Robin Hobb,american fiction,http://books.google.com/books/content?id=qTaGQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,fantasyroman,4.15,Fiction
