title,authors,genre,thumbnail,description,average_rating,cluster
Gilead,Marilynne Robinson,Fiction,http://books.google.com/books/content?id=KQZCPgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,a novel that reader and critic have be eagerly anticipate for over a decade gilead be an astonishingly imagine story of remarkable life john ames be a preacher the son of a preacher and the grandson both maternal and paternal of preacher its 1956 in gilead iowa towards the end of the reverend amess life and he be absorb in record his family story a legacy for the young son he will never see grow up haunt by his grandfather presence john tell of the rift between his grandfather and his father the eld an angry visionary who fight for the abolitionist cause and his son an ardent pacifist he be trouble too by his prodigal namesake jack john ames boughton his good friend lose son who return to gilead search for forgiveness and redemption tell in john amess joyous ramble voice that find beauty humour and truth in the small of life detail gilead be a song of celebration and acceptance of the good and the bad the world have to offer at its heart be a tale of the sacred bond between father and son pitchperfect in style and story set to dazzle critic and reader alike,3.85,0
Spider's Web,Charles Osborne;Agatha Christie,Detective and mystery stories,http://books.google.com/books/content?id=gA5GPgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,a new christie for christmas a fulllength novel adapt from her acclaimed play by charles osborne follow black coffee and the unexpected guest come the final agatha christie play novelisation bring her superb storytelle to a new legion of fan clarissa the wife of a foreign office diplomat be give to daydream suppose I be to come down one morning and find a dead body in the library what should I do she muse clarissa have her chance to find out when she discover a body in the drawingroom of her house in kent desperate to dispose of the body before her husband come home with an important foreign politician clarissa persuade she three house guest to become accessory and accomplice it seem that the murder man be not unknown to certain member of the house party but which one and the search begin for the murderer and the motive while at the same time try to persuade a police inspector that there have be no murder at all spider web be write in 1954 specifically for margaret lockwood and open first at the theatre royal nottingham before move to the savoy theatre in london on 14 december 1954 with the mousetrap and wi,3.83,7
The One Tree,Stephen R. Donaldson,American fiction,http://books.google.com/books/content?id=OmQawwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,volume two of stephen donaldson acclaim second trilogy featue the compelling antihero thomas covenant,3.97,7
Rage of angels,Sidney Sheldon,Fiction,http://books.google.com/books/content?id=FKo2TgANz74C&printsec=frontcover&img=1&zoom=1&source=gbs_api,a memorable mesmerize heroine jennifer brilliant beautiful an attorney on the way up until the mafia scheme win she the hatred of an implacable enemy and a love more destructive than hate a dangerous dramatic world the dark arena of organized crime and flashbulb lit courtroom where ambitious prosecutor begin their climb to political power,3.93,0
The Four Loves,Clive Staples Lewis,Christian life,http://books.google.com/books/content?id=XhQ5XsFcpGIC&printsec=frontcover&img=1&zoom=1&source=gbs_api,lewis work on the nature of love divide love into four category affection friendship ero and charity the first three come naturally to humanity charity however the giftlove of god be divine and without this supernatural love the natural love become distorted and even dangerous,4.15,7
The Problem of Pain,Clive Staples Lewis,Christian life,http://books.google.com/books/content?id=Kk-uVe5QK-gC&printsec=frontcover&img=1&zoom=1&source=gbs_api,in the problem of pain cs lewis one of the most renowned christian author and thinker examine a universally applicable question within the human condition if god be good and allpowerful why do he allow his creature to suffer pain with his signature wealth of compassion and insight cs lewis offer answer to these crucial question and share his hope and wisdom to help heal a world hunger for a true understanding of human natureamazon,4.09,7
An Autobiography,Agatha Christie,"Authors, English",http://books.google.com/books/content?id=c49GQwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,donation,4.27,7
Empires of the Monsoon,Richard Hall,"Africa, East",http://books.google.com/books/content?id=MuPEQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,until vasco da gama discover the searoute to the east in 14979 almost nothing be know in the west of the exotic culture and wealth of the indian ocean and its people it be this civilization and its destruction at the hand of the west that richard hall recreate in this book hall history of the exploration and exploitation by chinese and arab traveller and by the portuguese dutch and british alike be one of brutality betrayal and colonial ambition,4.41,7
The Gap Into Madness,Stephen R. Donaldson,"Hyland, Morn (Fictitious character)",http://books.google.com/books/content?id=4oXavLNDWocC&printsec=frontcover&img=1&zoom=1&source=gbs_api,a newcover reissue of the fourth book in the bestselle fivevolume sf series create by the worldfamous author of the thomas covenant chronicle and acclaim as the good work of his career event be not move as the amnion have intend once again human have be false in their dealing with the alien as the planetoid thanatos minor explode into atom the trumpet hurtle into space only one step ahead of hostile pursuer on board be morn hyland and her forcegrown son davy cyborg angus thermopyle and captain nick succorso old enemy throw together in a desperate bid for survival for both the amnion and the umcp the immediate capture of the flee ship and the secret it contain be imperative but for trumpet exhausted crew the only hope lie in an illegal lab in the distant binary solar system of valdor industrial it would be a journey of unpredictable danger from which not all would return,4.15,7
Master of the Game,Sidney Sheldon,Adventure stories,http://books.google.com/books/content?id=TkTYp-Tp6_IC&printsec=frontcover&img=1&zoom=1&source=gbs_api,kate blackwell be an enigma and one of the most powerful woman in the world but at her ninetieth birthday celebration there be ghost of absent friend and absent enemy,4.11,7
